ITEM_ID;ARTICULO;PRODUCTO;MARCA
16008;P.DULCE GEORGALOS POUCH 700 gr;P.DULCE;GEORGALOS
1946110;P.DULCE MAROLIO FRUT.SECA 600 gr;P.DULCE;MAROLIO
6224;P.DULCE NOEL C.ALMEN 600 gr;P.DULCE;NOEL
8189;P.DULCE POW.RANGER 600 gr;P.DULCE;POW.RANGER
577011;P.DULCE VALENTE 700 gr;P.DULCE;VALENTE
1343025;PALA TASK ECONOMICA;PALAS;TASK
1831113;PALA TASK C.MANG.REB;PALAS;TASK
979;PALA L.GAUCHITA PLASTICA;PALAS;L.GAUCHITA
1953841;PALILL. JR JR.DISP 80 un;PALILLEROS;JR
1953850;PALILL. MEH PACK 150 un;PALILLEROS;MEH
2518;PALMITO GENTLEMAN 800 gr;PALMITO;GENTLEMAN
17039;PALMITO MAROLIO RODAJA 800 gr;PALMITO;MAROLIO
138;PALMITO MAROLIO ENTERO 800 gr;PALMITO;MAROLIO
7352;PANO EL COLOSO BCO.STAND 50X45 cm;PAÑO;EL COLOSO
7406;PANO EL COLOSO GRIS STAND 50X45 cm;PAÑO;EL COLOSO
2237;PANO EL COLOSO BOBLE CARA;PAÑO;EL COLOSO
2506;PANO EL COLOSO ANTIBAC;PAÑO;EL COLOSO
7600;PANO EL COLOSO GRIS CONSOR;PAÑO;EL COLOSO
7669;PANO EL COLOSO COL.COMP;PAÑO;EL COLOSO
8799;PANO EL COLOSO GRIS SUPER;PAÑO;EL COLOSO
9772;PANO EL COLOSO BCO.SUP;PAÑO;EL COLOSO
9174;PANO EL COLOSO MULTIUSO;PAÑO;EL COLOSO
9241;PANO EL COLOSO PISO;PAÑO;EL COLOSO
4577;PANO WULLI 11;PAÑO;WULLI
6305;PANUELO KLEENEX BOX 75 un;PAÑUELO;KLEENEX
1953551;PANUELO KLEENEX D.HOJA 12 un;PAÑUELO;KLEENEX
2110;PAP.HIG BRISAS NAT 1X40 mt;PAPEL HIGIENICO;BRISAS
893;PAP.HIG EL COLOSO ECOL 6X30 mt;PAPEL HIGIENICO;EL COLOSO
